_id,class,nameId,mapId,positionId,name_jp,name_na,name_eu,name_fr,name_de
0000-000000-000000,Aetheryte,0,0,0,アルケイオン保管院,,,,
0000-000001-000001,Aetheryte,1,0,1,リトルシャーレアン,,,,
0000-000002-000002,Aetheryte,2,0,2,アポリア本部,,,,
0001-000037-000003,Aetheryte,3,1,37,イェドリマン,,,,
0001-000038-000004,Aetheryte,4,1,38,デミールの遺烈郷,,,,
0001-000039-000005,Aetheryte,5,1,39,パーラカの里,,,,
0002-000070-000006,Aetheryte,6,2,70,キャンプ・ブロークングラス,,,,
0002-000071-000007,Aetheryte,7,2,71,テルティウム駅,,,,
0003-000101-000008,Aetheryte,8,3,101,涙の入江,,,,
0003-000102-000009,Aetheryte,9,3,102,ベストウェイ・バロー,,,,
0004-000128-000010,Aetheryte,10,4,128,十二節の園,,,,
0004-000129-000011,Aetheryte,11,4,129,アナグノリシス天測園,,,,
0004-000130-000012,Aetheryte,12,4,130,ポイエテーン・オイコス,,,,
0005-000165-000013,Aetheryte,13,5,165,リア・ターラ,,,,
0005-000166-000014,Aetheryte,14,5,166,イーアの里,,,,
0005-000167-000015,Aetheryte,15,5,167,オミクロンベース,,,,
0000-000003-000016,Mob_,16,0,3,カリブー,,,,
0000-000004-000017,Mob_,17,0,4,リマスカブラ,,,,
0000-000006-000018,Mob_,18,0,6,リマスカブラ,,,,
0000-000005-000019,Mob_,19,0,5,トロル,,,,
0000-000007-000020,Mob_,20,0,7,メリノ,,,,
0000-000007-000021,Mob_,21,0,7,ブラックメリノ,,,,
0000-000008-000022,Mob_,22,0,8,ヤーコウ,,,,
0000-000009-000023,Mob_,23,0,9,ノーザン・スナップウィード,,,,
0000-000010-000024,Mob_,24,0,10,マウンテンチキン,,,,
0000-000011-000025,Mob_,25,0,11,ペプレド,,,,
0000-000012-000026,Mob_,26,0,12,ラヴィリンソス・ナルブルーイ,,,,
0000-000013-000027,Mob_,27,0,13,ラヴィリンソス・サンクチンニ,,,,
0000-000014-000028,Mob_,28,0,14,クリオコナイト,,,,
0000-000015-000029,Mob_,29,0,15,ラヴィリンソス・スクリーマー,,,,
0000-000016-000030,Mob_,30,0,16,ストレイ・エッグ,,,,
0000-000016-000031,Mob_,31,0,16,ストレイ・オニオン,,,,
0000-000016-000032,Mob_,32,0,16,ストレイ・ガーリック,,,,
0000-000016-000033,Mob_,33,0,16,ストレイ・クイーン,,,,
0000-000016-000034,Mob_,34,0,16,ストレイ・コリガン,,,,
0000-000016-000035,Mob_,35,0,16,ストレイ・トマト,,,,
0000-000016-000036,Mob_,36,0,16,ストレイ・マンドラゴラ,,,,
0000-000017-000037,Mob_,37,0,17,ゲノーモス,,,,
0000-000018-000038,Mob_,38,0,18,ミスリルキャップ,,,,
0000-000019-000039,Mob_,39,0,19,セントラル・プラバーサ,,,,
0000-000020-000040,Mob_,40,0,20,セントラル・アナラ,,,,
0000-000020-000041,Mob_,41,0,20,ベルカナ,,,,
0000-000022-000042,Mob_,42,0,22,ベルカナ,,,,
0000-000024-000043,Mob_,43,0,24,ベルカナ,,,,
0000-000025-000044,Mob_,44,0,25,ベルカナ,,,,
0000-000021-000045,Mob_,45,0,21,セントラル・ダラ,,,,
0000-000023-000046,Mob_,46,0,23,セントラル・ソーマ,,,,
0000-000024-000047,Mob_,47,0,24,セントラル・アーパス,,,,
0000-000025-000048,Mob_,48,0,25,セントラル・アニラ,,,,
0001-000040-000049,Mob_,49,1,40,カチャパ,,,,
0001-000041-000050,Mob_,50,1,41,ガジャ,,,,
0001-000042-000051,Mob_,51,1,42,アキャーリクラブ,,,,
0001-000043-000052,Mob_,52,1,43,ハンサ,,,,
0001-000044-000053,Mob_,53,1,44,グハーシャヤ,,,,
0001-000045-000054,Mob_,54,1,45,シーングパクシー,,,,
0001-000046-000055,Mob_,55,1,46,ハヌマンラングール,,,,
0001-000047-000056,Mob_,56,1,47,バブーン,,,,
0001-000048-000057,Mob_,57,1,48,ピシャーチャ,,,,
0001-000049-000058,Mob_,58,1,49,ヴァジュララングラ,,,,
0001-000050-000059,Mob_,59,1,50,オドカン,,,,
0001-000051-000060,Mob_,60,1,51,ブンジャンガ,,,,
0001-000052-000061,Mob_,61,1,52,アシュヴァッタ,,,,
0001-000053-000062,Mob_,62,1,53,クンビーラ,,,,
0001-000054-000063,Mob_,63,1,54,シュトラムルグ,,,,
0001-000055-000064,Mob_,64,1,55,ヴァルラス,,,,
0001-000056-000065,Mob_,65,1,56,チャムロッシュ,,,,
0001-000057-000066,Mob_,66,1,57,マンジュサカ,,,,
0001-000058-000067,Mob_,67,1,58,スターマイト,,,,
0001-000059-000068,Mob_,68,1,59,サベネアンジャムメル,,,,
0002-000072-000069,Mob_,69,2,72,アルマスティ,,,,
0002-000073-000070,Mob_,70,2,73,イルサバード・トゥルスス,,,,
0002-000074-000071,Mob_,71,2,74,エブラーナベアー,,,,
0002-000075-000072,Mob_,72,2,75,エブラーナ・アイストラップ,,,,
0002-000076-000073,Mob_,73,2,76,オウヴィボス,,,,
0002-000077-000074,Mob_,74,2,77,オーバーグロウンローズ,,,,
0002-000078-000075,Mob_,75,2,78,オーバーチューンド,,,,
0002-000079-000076,Mob_,76,2,79,オートマチック・アヴェンジャー,,,,
